1;Większa jednostka masy od tony?;pytki.pl;proste;http://pytki.pl/wieksza-jednostka-masy-od-tony,543;entity-other;QC_DIRECT
2;Jak ściągać pliki muzyczne z wrzuty?;pytki.pl;proste;http://wiaderko.net/download-muzyka-mp3-albumy-p%B3yty-cd-dvd/257-jak-%B6ci%B1ga%E6-muze-mp3-z-wrzuta-pl.html;manner;QC_PROCEDURE
3;Jak ściągać z YouTube muzykę?;pytki.pl;proste;http://zapytaj.onet.pl/Category/007,025/2,16874917,Jak_sciagnac_muzyke_z_you_tube_.html;manner;QC_PROCEDURE
4;Jak można zrobić screenshota pulpitu?;pytki.pl;proste;http://technologie.gazeta.pl/technoporady/1,120791,11260338,Jak_zrobic_screenshot_w_PS_Vita__Robienie_zrzutow.html;manner;QC_PROCEDURE
5;Co to jest ACTA?;pytki.pl;proste;http://pl.wikipedia.org/wiki/Anti-Counterfeiting_Trade_Agreement;definition;QC_DEF:BE
7;Czym czyścić srebro?;pytki.pl;proste;http://www.abcgospodyni.pl/czyszczenie-srebra-zlota.html;substance;QC_NONPER
9;Czy można płacić kartą na poczcie?;pytki.pl;proste;http://wyborcza.biz/biznes/1,101562,8362194,Placisz_na_poczcie_karta___placisz_poczcie_prowizje.html;yes-no;QC_DECISION
10;Jak czyścić klawiaturę?;pytki.pl;proste;http://forumeking.eu/Czyszczenie-klawiatury.html;manner;QC_PROCEDURE
11;Jak odzyskać pieniądze z tytułu umowy zlecenia? ;porady.lego.pl;proste;http://www.regiopraca.pl/portal/rynek-pracy/wiadomosci/posluchal-prawnika-odzyskal-pieniadze-od-pracodawcy;manner;QC_PROCEDURE
12;Jak wrzucić filmik na YouTube?;pytki.pl;proste;http://zapytaj.onet.pl/Category/001,003/2,11817482,Jak_dodac_film_na_You_Tube.html;manner;QC_PROCEDURE
13;Co kupić chłopakowi na 18-stkę?;pytki.pl;proste;http://zapytaj.onet.pl/Category/008,008/2,17071570,Co_moge_kupic_chlopakowi_na_osiemnastke.html;entity-other;QC_NONPER
14;Ile kosztuje mała pizza w Da Grasso?;pytki.pl;proste;http://www.gastronauci.pl/pl/6316-pizzeria-da-grasso-wroclaw;money;QC_QUANTITY:PRICE
15;Z jakimi objawami wiąże się nadczynność tarczycy?;pytki.pl;proste;http://tarczyca.wieszjak.pl/nadczynnosc/244645,Jak-objawia-sie-nadczynnosc-tarczycy.html;dis-med;QC_DIRECT
16;Jak ubierali się joannici?;pytki.pl;proste;http://www.gazetarycerska.pl/forum/viewthread.php?forum_id=112&thread_id=499;manner;QC_PROCEDURE
17;Skąd brać napisy do filmów?;pytki.pl;proste;http://www.napiprojekt.pl/;web-page;QC_LOC:ORIG
18;Jak sprytnie, szybko i bez kosztów mogę coś sprzedać?;pytki.pl;proste;http://pytki.pl/jak-sprytnie-szybko-i-bez-kosztow-moge-cos-sprzedac,621;manner;QC_PROCEDURE
21;Ile wody nalać do fajki?;pytki.pl;proste;http://www.obeznani.pl/s/1/ile-wody-wlewa-sie-do-shishy;numeric-other;QC_QUANTITY:GEN
22;A ile warstw folii dajecie do fajki?;pytki.pl;proste;http://shisha.com.pl/przygotowanie-shishy;count;QC_QUANTITY:GEN
24;Czego nie można włożyć do mikrofalówki?;pytki.pl;proste;http://www.mowimyjak.pl/styl-zycia/kuchnia/czego-nie-wkadac-do-mikrofalowki,17_31564.html;entity-other;QC_NONPER
25;Jaka substancja jest w ogrzewaczu do rąk?;pytki.pl;proste;http://pl.wikipedia.org/wiki/Ogrzewacz_d%C5%82oni;substance;QC_DIRECT
26;Gdzie kupić tanio sukienkę na studniówkę?;pytki.pl;proste;http://www.glamki.pl/moda/nowe-kolekcje/sukienki-na-studniowke-gdzie-kupic-taka-sukienke-glamki-pl-prezentuja-najmodniejsze-sukienki-na-stud,14_2849.html;location-other;QC_LOC:PLACE
27;Co to jest kredyt fasadowy?;pytki.pl;proste;http://pytki.pl/co-to-jest-kredyt-fasadowy,601;definition;QC_DEF:BE
28;Jak nazywa się ojciec Edyty Górniak?;pytki.pl;proste;http://forum.gazeta.pl/forum/w,26334,43114012,43114012,zmarl_ojciec_edyty_gorniak.html;individual;QC_STATE:NAME
29;Kiedy RMF będzie rozdawał choineczki?;pytki.pl;proste;http://www.rmf24.pl/fakty/news-choinka-pod-choinke-konwoj-zielonych-drzewek-od-rmf-fm,nId,724685;date;QC_TEMP:MOM
31;Jakie są barokowe zabytki Małopolski?;pytki.pl;proste;http://www.sgpm.krakow.pl/zabytki/listasty.php?styl=e;entity-other;QC_STATE:GEN
