1;Co to znaczy "lol"?;google.pl;http://coznaczy.info.pl/co-znaczy-lol;expression;QC_DEF:MEANING
2;Co to jest tablet?;google.pl;http://pl.wikipedia.org/wiki/Tablet_%28komputer%29;definition;QC_DEF:BE
3;Co to znaczy "swag"?;google.pl;http://www.miejski.pl/slowo-SWAG;expression;QC_DEF:MEANING
4;Co to znaczy "xd"?;google.pl;http://www.miejski.pl/slowo-xD;expression;QC_DEF:MEANING
5;Co można odliczyć od podatku?;google.pl;http://www.pit.pl/odliczenia_od_podatku_226.php;description;QC_NONPER
6;Co można robić we Wrocławiu?;google.pl;http://nocleginaplus.pl/77.atrakcje-we-wroclawiu;description;QC_NONPER
7;Kto to jest hipster?;google.pl;http://zapytaj.onet.pl/Category/001,003/2,20143707,Kto_to_hipster.html;definition;QC_DEF:PER
8;Kto to jest patriota?;google.pl;http://www.sjp.pl/patriota;definition;QC_DEF:PER
9;Czym się odżywia jemiołuszka?;google.pl;http://www.zimorodek.com/przyroda-oiywiona-edukacja-ekologiczna-78/ptaki-edukacja-ekologiczna-67/51-jemiopuszka;food;QC_NONPER
10;Czym jest miłość?;google.pl;http://pl.wikipedia.org/wiki/Mi%C5%82o%C5%9B%C4%87;definition;QC_DEF:BE
11;Czym jest wiara?;google.pl;http://pl.wikipedia.org/wiki/Wiara_%28psychologia%29;definition;QC_DEF:BE
12;Czym się odżywia czeczotka?;google.pl;http://zadane.pl/zadanie/4242108;food;QC_NONPER
13;Z czym się pije martini?;google.pl;http://f.kafeteria.pl/temat.php?id_p=3175299;food;QC_NONPER
14;Z czym pić malibu?;google.pl;http://www.partytonight.pl/jak-pic-malibu.php;food;QC_NONPER
15;Z kim graniczy Polska?;google.pl;http://zadane.pl/zadanie/3509274;country;QC_PER:ARG
16;Na czym polega skraplanie powietrza?;google.pl;http://zadane.pl/zadanie/42129;description;QC_NONPER
17;Na czym polega tragizm Edypa?;google.pl;http://zadane.pl/zadanie/330633;description;QC_NONPER
18;Na czym polega zjawisko indukcji elektromagnetycznej?;google.pl;http://zadane.pl/zadanie/785900;description;QC_NONPER
19;Na czym polega in vitro?;google.pl;http://wiadomosci.wp.pl/kat,1342,title,Na-czym-polega-in-vitro,wid,8091502,wiadomosc.html?ticaid=110218;description;QC_NONPER
20;Na kim ciąży obowiązek alimentacyjny?;google.pl;http://www.niepelnosprawni.pl/ledge/x/35466;individual;QC_PER:ARG
21;Co to jest śledziona?;altavista.com;http://pl.wikipedia.org/wiki/%C5%9Aledziona;definition;QC_DEF:BE
22;Co to są proteiny?;altavista.com;http://www.sciaga.pl/tag/proteiny/;definition;QC_DEF:BE
23;Kto był Zeus?;altavista.com;http://bsmsow.republika.pl/mit8.html;individual;QC_DEF:PER
24;Kto to był Lucyfer?;altavista.com;http://pl.wikipedia.org/wiki/Lucyfer;individual;QC_DEF:PER
25;Kto to nimfomanka?;altavista.com;http://zapytaj.onet.pl/Category/001,001/2,47970,co_to_jest_nimfomanka.html;definition;QC_DEF:PER
26;Kto to są masoni?;altavista.com;http://wiara.arachbox.com/Masoni;definition;QC_DEF:PER
27;Z kim jest Doda?;altavista.com;http://podepnij.pl/2012/07/doda-szychowski-sa-znowu-razem/;individual;QC_PER:ARG
30;Co to jest celandine?;bing.pl;http://pl.wiktionary.org/wiki/celandine;definition;QC_DEF:BE
